Frecuencia(Hz)	Magnitud(V)
0.00	0.00273
7.39	0.00224
14.78	0.00224
22.17	0.00189
29.56	0.00220
36.96	0.00182
44.35	0.00193
51.74	0.00212
59.13	0.00168
66.52	0.00218
73.91	0.00178
81.30	0.00202
88.69	0.00176
96.08	0.00200
103.48	0.00203
110.87	0.00199
118.26	0.00234
125.65	0.00237
133.04	0.00181
140.43	0.00257
147.82	0.00252
155.21	0.00249
162.60	0.00195
170.00	0.00199
177.39	0.00229
184.78	0.00251
192.17	0.00230
199.56	0.00245
206.95	0.00229
214.34	0.00211
221.73	0.00208
229.12	0.00214
236.51	0.00217
243.91	0.00204
251.30	0.00231
258.69	0.00226
266.08	0.00230
273.47	0.00202
280.86	0.00199
288.25	0.00235
295.64	0.00234
303.03	0.00240
310.43	0.00248
317.82	0.00251
325.21	0.00244
332.60	0.00268
339.99	0.00246
347.38	0.00271
354.77	0.00262
362.16	0.00234
369.55	0.00251
376.95	0.00283
384.34	0.00231
391.73	0.00270
399.12	0.00230
406.51	0.00275
413.90	0.00273
421.29	0.00272
428.68	0.00253
436.07	0.00253
443.47	0.00306
450.86	0.00340
458.25	0.00271
465.64	0.00293
473.03	0.00294
480.42	0.00297
487.81	0.00309
495.20	0.00307
502.59	0.00318
509.99	0.00345
517.38	0.00333
524.77	0.00337
532.16	0.00311
539.55	0.00302
546.94	0.00356
554.33	0.00349
561.72	0.00347
569.11	0.00305
576.51	0.00354
583.90	0.00378
591.29	0.00321
598.68	0.00403
606.07	0.00369
613.46	0.00405
620.85	0.00469
628.24	0.00472
635.63	0.00453
643.03	0.00450
650.42	0.00439
657.81	0.00522
665.20	0.00466
672.59	0.00509
679.98	0.00579
687.37	0.00544
694.76	0.00520
702.15	0.00575
709.54	0.00549
716.94	0.00603
724.33	0.00551
731.72	0.00649
739.11	0.00616
746.50	0.00605
753.89	0.00762
761.28	0.00660
768.67	0.00724
776.06	0.00833
783.46	0.00930
790.85	0.00945
798.24	0.00977
805.63	0.01053
813.02	0.01191
820.41	0.01178
827.80	0.01452
835.19	0.01517
842.58	0.01668
849.98	0.01738
857.37	0.02052
864.76	0.02367
872.15	0.03371
879.54	0.03438
886.93	0.07777
894.32	0.18052
901.71	0.32085
909.10	0.08547
916.50	0.05123
923.89	0.02511
931.28	0.03239
938.67	0.01070
