Frecuencia(Hz)	Magnitud(V)
0.00	0.00676
7.39	0.00862
14.78	0.00944
22.17	0.00955
29.56	0.01083
36.95	0.01102
44.34	0.01325
51.73	0.01469
59.12	0.01820
66.51	0.02105
73.90	0.02850
81.29	0.03842
88.68	0.06744
96.07	0.24605
103.46	0.26613
110.85	0.06889
118.24	0.04339
125.63	0.02938
133.02	0.02468
140.40	0.01930
147.79	0.01766
155.18	0.01492
162.57	0.01383
169.96	0.01199
177.35	0.01096
184.74	0.00998
192.13	0.00991
199.52	0.00861
206.91	0.00827
214.30	0.00783
221.69	0.00777
229.08	0.00642
236.47	0.00682
243.86	0.00670
251.25	0.00658
258.64	0.00606
266.03	0.00573
273.42	0.00531
280.81	0.00537
288.20	0.00498
295.59	0.00503
302.98	0.00470
310.37	0.00505
317.76	0.00442
325.15	0.00461
332.54	0.00401
339.93	0.00452
347.32	0.00404
354.71	0.00369
362.10	0.00392
369.49	0.00397
376.88	0.00357
384.27	0.00356
391.66	0.00350
399.05	0.00333
406.43	0.00292
413.82	0.00328
421.21	0.00323
428.60	0.00364
435.99	0.00303
443.38	0.00334
450.77	0.00342
458.16	0.00313
465.55	0.00312
472.94	0.00285
480.33	0.00275
487.72	0.00290
495.11	0.00246
502.50	0.00286
509.89	0.00284
517.28	0.00310
524.67	0.00281
532.06	0.00280
539.45	0.00251
546.84	0.00250
554.23	0.00250
561.62	0.00240
569.01	0.00305
576.40	0.00320
583.79	0.00263
591.18	0.00287
598.57	0.00294
605.96	0.00259
613.35	0.00241
620.74	0.00237
628.13	0.00236
635.52	0.00251
642.91	0.00229
650.30	0.00226
657.69	0.00279
665.08	0.00238
672.47	0.00197
679.85	0.00233
687.24	0.00214
694.63	0.00229
702.02	0.00225
709.41	0.00266
716.80	0.00247
724.19	0.00232
731.58	0.00233
738.97	0.00244
746.36	0.00210
753.75	0.00181
761.14	0.00212
768.53	0.00206
775.92	0.00170
783.31	0.00241
790.70	0.00228
798.09	0.00184
805.48	0.00224
812.87	0.00146
820.26	0.00150
827.65	0.00221
835.04	0.00268
842.43	0.00216
849.82	0.00217
857.21	0.00194
864.60	0.00209
871.99	0.00217
879.38	0.00183
886.77	0.00280
894.16	0.00181
901.55	0.00214
908.94	0.00224
916.33	0.00201
923.72	0.00188
931.11	0.00239
938.50	0.00207
