Frecuencia(Hz)	Magnitud(V)
0.00	0.00035
0.92	0.00033
1.85	0.00029
2.77	0.00022
3.69	0.00014
4.62	0.00007
5.54	0.00004
6.47	0.00008
7.39	0.00013
8.31	0.00016
9.24	0.00018
10.16	0.00019
11.08	0.00020
12.01	0.00021
12.93	0.00022
13.85	0.00022
14.78	0.00023
15.70	0.00023
16.63	0.00023
17.55	0.00021
18.47	0.00019
19.40	0.00017
20.32	0.00015
21.24	0.00014
22.17	0.00014
23.09	0.00015
24.02	0.00017
24.94	0.00018
25.86	0.00019
26.79	0.00021
27.71	0.00022
28.63	0.00022
29.56	0.00022
30.48	0.00021
31.40	0.00019
32.33	0.00016
33.25	0.00013
34.18	0.00010
35.10	0.00008
36.02	0.00008
36.95	0.00009
37.87	0.00012
38.79	0.00015
39.72	0.00018
40.64	0.00021
41.56	0.00023
42.49	0.00024
43.41	0.00024
44.34	0.00023
45.26	0.00021
46.18	0.00018
47.11	0.00016
48.03	0.00014
48.95	0.00013
49.88	0.00013
50.80	0.00015
51.73	0.00017
52.65	0.00020
53.57	0.00023
54.50	0.00026
55.42	0.00028
56.34	0.00029
57.27	0.00030
58.19	0.00031
59.11	0.00032
60.04	0.00032
60.96	0.00031
61.89	0.00028
62.81	0.00025
63.73	0.00023
64.66	0.00022
65.58	0.00025
66.50	0.00030
67.43	0.00038
68.35	0.00044
69.27	0.00048
70.20	0.00049
71.12	0.00047
72.05	0.00044
72.97	0.00042
73.89	0.00042
74.82	0.00043
75.74	0.00042
76.66	0.00039
77.59	0.00033
78.51	0.00027
79.43	0.00025
80.36	0.00033
81.28	0.00052
82.21	0.00078
83.13	0.00102
84.05	0.00111
84.98	0.00099
85.90	0.00071
86.82	0.00048
87.75	0.00050
88.67	0.00085
89.60	0.00169
90.52	0.00272
91.44	0.00319
92.37	0.00206
93.29	0.00178
94.21	0.00906
95.14	0.01996
96.06	0.03373
96.98	0.04877
97.91	0.06287
98.83	0.07370
99.76	0.07932
100.68	0.07872
101.60	0.07204
102.53	0.06055
103.45	0.04631
104.37	0.03167
105.30	0.01872
106.22	0.00885
107.14	0.00257
108.07	0.00048
108.99	0.00109
109.92	0.00045
110.84	0.00069
111.76	0.00140
112.69	0.00163
113.61	0.00143
114.53	0.00103
115.46	0.00068
116.38	0.00050
117.30	0.00050
118.23	0.00059
119.15	0.00065
120.08	0.00063
121.00	0.00052
