Frecuencia(Hz)	Magnitud(V)
121.92	0.00036
122.85	0.00023
123.77	0.00019
124.69	0.00023
125.62	0.00033
126.54	0.00042
127.47	0.00047
128.39	0.00048
129.31	0.00044
130.24	0.00038
131.16	0.00032
132.08	0.00029
133.01	0.00026
133.93	0.00024
134.85	0.00022
135.78	0.00019
136.70	0.00018
137.63	0.00019
138.55	0.00022
139.47	0.00025
140.40	0.00029
141.32	0.00032
142.24	0.00033
143.17	0.00032
144.09	0.00030
145.01	0.00027
145.94	0.00023
146.86	0.00021
147.79	0.00019
148.71	0.00017
149.63	0.00015
150.56	0.00013
151.48	0.00012
152.40	0.00011
153.33	0.00013
154.25	0.00015
155.18	0.00018
156.10	0.00020
157.02	0.00021
157.95	0.00020
158.87	0.00018
159.79	0.00015
160.72	0.00013
161.64	0.00010
162.56	0.00009
163.49	0.00008
164.41	0.00006
165.34	0.00006
166.26	0.00007
167.18	0.00009
168.11	0.00011
169.03	0.00014
169.95	0.00015
170.88	0.00016
171.80	0.00016
172.72	0.00015
173.65	0.00014
174.57	0.00013
175.50	0.00011
176.42	0.00010
177.34	0.00009
178.27	0.00008
179.19	0.00007
180.11	0.00007
181.04	0.00007
181.96	0.00007
182.88	0.00008
183.81	0.00009
184.73	0.00010
185.66	0.00011
186.58	0.00011
187.50	0.00012
188.43	0.00011
189.35	0.00011
190.27	0.00009
191.20	0.00008
192.12	0.00006
193.05	0.00006
193.97	0.00006
194.89	0.00008
195.82	0.00011
196.74	0.00013
197.66	0.00014
198.59	0.00015
199.51	0.00015
200.43	0.00015
201.36	0.00014
202.28	0.00013
203.21	0.00012
204.13	0.00011
205.05	0.00011
205.98	0.00011
206.90	0.00011
207.82	0.00011
208.75	0.00011
209.67	0.00010
210.59	0.00009
211.52	0.00008
212.44	0.00008
213.37	0.00008
214.29	0.00009
215.21	0.00009
216.14	0.00009
217.06	0.00009
217.98	0.00009
218.91	0.00009
219.83	0.00008
220.76	0.00008
221.68	0.00008
222.60	0.00008
223.53	0.00008
224.45	0.00008
225.37	0.00008
226.30	0.00008
227.22	0.00008
228.14	0.00008
229.07	0.00009
229.99	0.00009
230.92	0.00009
231.84	0.00010
232.76	0.00010
233.69	0.00010
234.61	0.00010
235.53	0.00011
236.46	0.00012
237.38	0.00012
238.30	0.00013
239.23	0.00013
240.15	0.00013
241.08	0.00013
242.00	0.00012
242.92	0.00012
243.85	0.00012
244.77	0.00013
245.69	0.00013
246.62	0.00014
247.54	0.00014
248.46	0.00014
249.39	0.00013
250.31	0.00012
251.24	0.00010
252.16	0.00008
253.08	0.00007
254.01	0.00007
254.93	0.00007
255.85	0.00008
256.78	0.00009
257.70	0.00010
258.63	0.00010
259.55	0.00010
260.47	0.00009
261.40	0.00008
262.32	0.00007
263.24	0.00007
264.17	0.00007
265.09	0.00008
266.01	0.00008
266.94	0.00009
267.86	0.00010
268.79	0.00010
269.71	0.00010
270.63	0.00010
271.56	0.00010
272.48	0.00010
273.40	0.00010
274.33	0.00010
275.25	0.00010
276.17	0.00010
277.10	0.00010
278.02	0.00009
278.95	0.00009
279.87	0.00008
280.79	0.00007
281.72	0.00006
282.64	0.00006
283.56	0.00005
284.49	0.00004
285.41	0.00003
286.33	0.00003
287.26	0.00003
288.18	0.00004
289.11	0.00005
290.03	0.00006
290.95	0.00007
291.88	0.00007
292.80	0.00007
293.72	0.00006
294.65	0.00006
295.57	0.00005
296.50	0.00004
297.42	0.00004
298.34	0.00003
299.27	0.00002
300.19	0.00002
301.11	0.00002
302.04	0.00002
302.96	0.00003
303.88	0.00004
304.81	0.00005
305.73	0.00006
306.66	0.00007
307.58	0.00007
308.50	0.00007
309.43	0.00006
310.35	0.00005
311.27	0.00003
312.20	0.00001
313.12	0.00000
314.04	0.00001
314.97	0.00002
315.89	0.00002
316.82	0.00003
317.74	0.00003
318.66	0.00003
319.59	0.00003
320.51	0.00003
321.43	0.00003
322.36	0.00003
323.28	0.00003
324.21	0.00003
325.13	0.00004
326.05	0.00004
326.98	0.00004
327.90	0.00005
328.82	0.00005
329.75	0.00005
330.67	0.00005
331.59	0.00005
332.52	0.00005
333.44	0.00005
334.37	0.00005
335.29	0.00006
336.21	0.00006
337.14	0.00006
338.06	0.00006
338.98	0.00005
339.91	0.00003
340.83	0.00002
341.75	0.00002
342.68	0.00003
343.60	0.00005
344.53	0.00006
345.45	0.00007
346.37	0.00007
347.30	0.00007
348.22	0.00006
349.14	0.00006
350.07	0.00005
350.99	0.00004
351.91	0.00004
352.84	0.00003
353.76	0.00003
354.69	0.00003
355.61	0.00003
356.53	0.00003
357.46	0.00003
358.38	0.00004
359.30	0.00004
360.23	0.00005
361.15	0.00005
362.08	0.00005
363.00	0.00005
363.92	0.00004
364.85	0.00004
365.77	0.00003
366.69	0.00003
367.62	0.00003
368.54	0.00003
369.46	0.00004
370.39	0.00004
371.31	0.00004
372.24	0.00005
373.16	0.00004
374.08	0.00004
375.01	0.00003
375.93	0.00003
376.85	0.00002
377.78	0.00002
378.70	0.00002
379.62	0.00002
380.55	0.00002
381.47	0.00002
382.40	0.00002
383.32	0.00003
384.24	0.00003
385.17	0.00003
386.09	0.00003
387.01	0.00003
387.94	0.00003
388.86	0.00002
389.79	0.00002
390.71	0.00002
391.63	0.00002
392.56	0.00003
393.48	0.00003
394.40	0.00003
395.33	0.00004
396.25	0.00004
397.17	0.00005
398.10	0.00005
399.02	0.00006
399.95	0.00006
400.87	0.00006
401.79	0.00006
402.72	0.00006
403.64	0.00006
404.56	0.00007
405.49	0.00008
406.41	0.00008
407.33	0.00009
408.26	0.00009
409.18	0.00009
410.11	0.00009
411.03	0.00008
411.95	0.00008
412.88	0.00006
413.80	0.00005
414.72	0.00004
415.65	0.00002
416.57	0.00001
417.49	0.00001
418.42	0.00001
419.34	0.00001
420.27	0.00002
421.19	0.00003
422.11	0.00004
423.04	0.00004
423.96	0.00005
424.88	0.00006
425.81	0.00006
426.73	0.00007
427.66	0.00008
428.58	0.00009
429.50	0.00010
430.43	0.00011
431.35	0.00012
432.27	0.00012
433.20	0.00012
434.12	0.00011
435.04	0.00010
435.97	0.00009
436.89	0.00008
437.82	0.00007
438.74	0.00007
439.66	0.00007
440.59	0.00007
441.51	0.00007
442.43	0.00007
443.36	0.00006
444.28	0.00005
445.20	0.00005
446.13	0.00004
447.05	0.00005
447.98	0.00005
448.90	0.00006
449.82	0.00007
450.75	0.00008
451.67	0.00010
452.59	0.00011
453.52	0.00012
454.44	0.00012
455.36	0.00013
456.29	0.00012
457.21	0.00012
458.14	0.00012
459.06	0.00011
459.98	0.00010
460.91	0.00009
461.83	0.00008
462.75	0.00007
463.68	0.00006
464.60	0.00006
465.53	0.00006
466.45	0.00006
467.37	0.00006
468.30	0.00007
469.22	0.00007
470.14	0.00007
471.07	0.00007
471.99	0.00006
472.91	0.00006
473.84	0.00005
474.76	0.00004
475.69	0.00003
476.61	0.00003
477.53	0.00004
478.46	0.00004
479.38	0.00005
480.30	0.00006
481.23	0.00006
482.15	0.00006
483.07	0.00006
484.00	0.00005
484.92	0.00005
485.85	0.00006
486.77	0.00006
487.69	0.00006
488.62	0.00007
489.54	0.00006
490.46	0.00006
491.39	0.00005
492.31	0.00004
493.24	0.00003
494.16	0.00003
495.08	0.00004
496.01	0.00005
496.93	0.00006
497.85	0.00007
498.78	0.00008
499.70	0.00009
500.62	0.00009
501.55	0.00008
502.47	0.00007
503.40	0.00006
504.32	0.00005
505.24	0.00005
506.17	0.00005
507.09	0.00005
508.01	0.00004
508.94	0.00004
509.86	0.00004
510.78	0.00003
511.71	0.00002
512.63	0.00001
513.56	0.00001
514.48	0.00001
515.40	0.00002
516.33	0.00003
517.25	0.00003
518.17	0.00004
519.10	0.00005
520.02	0.00005
520.94	0.00005
521.87	0.00004
522.79	0.00004
523.72	0.00003
524.64	0.00003
525.56	0.00002
526.49	0.00002
527.41	0.00001
528.33	0.00001
529.26	0.00001
530.18	0.00001
531.11	0.00001
532.03	0.00001
532.95	0.00002
533.88	0.00002
534.80	0.00002
535.72	0.00002
536.65	0.00002
537.57	0.00001
538.49	0.00002
539.42	0.00003
540.34	0.00004
541.27	0.00006
542.19	0.00007
543.11	0.00007
544.04	0.00008
544.96	0.00007
545.88	0.00007
546.81	0.00006
547.73	0.00006
548.65	0.00005
549.58	0.00005
550.50	0.00005
551.43	0.00005
552.35	0.00005
553.27	0.00005
554.20	0.00005
555.12	0.00005
556.04	0.00004
556.97	0.00004
557.89	0.00004
558.82	0.00003
559.74	0.00003
560.66	0.00002
561.59	0.00002
562.51	0.00002
563.43	0.00002
564.36	0.00002
565.28	0.00002
566.20	0.00003
567.13	0.00004
568.05	0.00005
568.98	0.00007
569.90	0.00008
570.82	0.00009
571.75	0.00010
572.67	0.00011
573.59	0.00011
574.52	0.00010
575.44	0.00008
576.36	0.00007
577.29	0.00005
578.21	0.00003
579.14	0.00003
580.06	0.00004
580.98	0.00006
581.91	0.00007
582.83	0.00008
583.75	0.00008
584.68	0.00008
585.60	0.00007
586.52	0.00005
587.45	0.00004
588.37	0.00003
589.30	0.00002
590.22	0.00002
591.14	0.00002
592.07	0.00003
592.99	0.00003
593.91	0.00004
594.84	0.00004
595.76	0.00005
596.69	0.00005
597.61	0.00004
598.53	0.00004
599.46	0.00003
600.38	0.00003
601.30	0.00002
602.23	0.00002
603.15	0.00003
604.07	0.00003
605.00	0.00004
605.92	0.00004
606.85	0.00004
607.77	0.00005
608.69	0.00004
609.62	0.00004
610.54	0.00004
611.46	0.00003
612.39	0.00004
613.31	0.00004
614.23	0.00005
615.16	0.00006
616.08	0.00006
617.01	0.00005
617.93	0.00004
618.85	0.00004
619.78	0.00006
620.70	0.00008
621.62	0.00009
622.55	0.00010
623.47	0.00010
624.40	0.00010
625.32	0.00009
626.24	0.00008
627.17	0.00007
628.09	0.00006
629.01	0.00006
629.94	0.00006
630.86	0.00006
631.78	0.00006
632.71	0.00006
633.63	0.00006
634.56	0.00006
635.48	0.00005
636.40	0.00005
637.33	0.00004
638.25	0.00004
639.17	0.00003
640.10	0.00003
641.02	0.00002
641.94	0.00002
642.87	0.00001
643.79	0.00001
644.72	0.00001
645.64	0.00000
646.56	0.00000
647.49	0.00000
648.41	0.00001
649.33	0.00001
650.26	0.00002
651.18	0.00002
652.10	0.00002
653.03	0.00002
653.95	0.00002
654.88	0.00002
655.80	0.00002
656.72	0.00002
657.65	0.00003
658.57	0.00004
659.49	0.00005
660.42	0.00006
661.34	0.00007
662.27	0.00007
663.19	0.00007
664.11	0.00006
665.04	0.00005
665.96	0.00003
666.88	0.00002
667.81	0.00002
668.73	0.00002
669.65	0.00002
670.58	0.00002
671.50	0.00002
672.43	0.00002
673.35	0.00002
674.27	0.00002
675.20	0.00002
676.12	0.00002
677.04	0.00003
677.97	0.00004
678.89	0.00005
679.81	0.00005
680.74	0.00005
681.66	0.00005
682.59	0.00004
683.51	0.00004
684.43	0.00003
685.36	0.00003
686.28	0.00003
687.20	0.00004
688.13	0.00004
689.05	0.00004
689.97	0.00004
690.90	0.00004
691.82	0.00004
692.75	0.00003
693.67	0.00003
694.59	0.00003
695.52	0.00003
696.44	0.00003
697.36	0.00003
698.29	0.00003
699.21	0.00002
700.14	0.00002
701.06	0.00002
701.98	0.00002
702.91	0.00002
703.83	0.00002
704.75	0.00003
705.68	0.00003
706.60	0.00003
707.52	0.00004
708.45	0.00004
709.37	0.00005
710.30	0.00006
711.22	0.00006
712.14	0.00006
713.07	0.00006
713.99	0.00005
714.91	0.00004
715.84	0.00002
716.76	0.00001
717.68	0.00000
718.61	0.00001
719.53	0.00001
720.46	0.00001
721.38	0.00001
722.30	0.00002
723.23	0.00003
724.15	0.00003
725.07	0.00004
726.00	0.00004
726.92	0.00004
727.85	0.00004
728.77	0.00004
729.69	0.00004
730.62	0.00003
731.54	0.00003
732.46	0.00002
733.39	0.00001
734.31	0.00002
735.23	0.00002
736.16	0.00003
737.08	0.00003
738.01	0.00003
738.93	0.00002
739.85	0.00001
740.78	0.00001
741.70	0.00000
742.62	0.00000
743.55	0.00000
744.47	0.00001
745.39	0.00001
746.32	0.00002
747.24	0.00003
748.17	0.00003
749.09	0.00003
750.01	0.00003
750.94	0.00003
751.86	0.00003
752.78	0.00004
753.71	0.00004
754.63	0.00005
755.55	0.00005
756.48	0.00006
757.40	0.00005
758.33	0.00005
759.25	0.00004
760.17	0.00004
761.10	0.00003
762.02	0.00002
762.94	0.00001
763.87	0.00001
764.79	0.00002
765.72	0.00002
766.64	0.00003
767.56	0.00003
768.49	0.00004
769.41	0.00004
770.33	0.00004
771.26	0.00004
772.18	0.00005
773.10	0.00005
774.03	0.00005
774.95	0.00005
775.88	0.00005
776.80	0.00004
777.72	0.00005
778.65	0.00005
779.57	0.00006
780.49	0.00006
781.42	0.00005
782.34	0.00005
783.26	0.00004
784.19	0.00004
785.11	0.00003
786.04	0.00003
786.96	0.00003
787.88	0.00003
788.81	0.00003
789.73	0.00003
790.65	0.00002
791.58	0.00001
792.50	0.00001
793.42	0.00003
794.35	0.00006
795.27	0.00008
796.20	0.00009
797.12	0.00010
798.04	0.00010
798.97	0.00010
799.89	0.00009
800.81	0.00009
801.74	0.00008
802.66	0.00008
803.59	0.00008
804.51	0.00008
805.43	0.00008
806.36	0.00006
807.28	0.00005
808.20	0.00003
809.13	0.00003
810.05	0.00004
810.97	0.00005
811.90	0.00006
812.82	0.00006
813.75	0.00005
814.67	0.00004
815.59	0.00003
816.52	0.00003
817.44	0.00003
818.36	0.00002
819.29	0.00002
820.21	0.00002
821.13	0.00002
822.06	0.00002
822.98	0.00002
823.91	0.00002
824.83	0.00003
825.75	0.00003
826.68	0.00003
827.60	0.00004
828.52	0.00005
829.45	0.00005
830.37	0.00006
831.30	0.00007
832.22	0.00008
833.14	0.00008
834.07	0.00007
834.99	0.00007
835.91	0.00006
836.84	0.00006
837.76	0.00006
838.68	0.00006
839.61	0.00006
840.53	0.00005
841.46	0.00005
842.38	0.00004
843.30	0.00003
844.23	0.00002
845.15	0.00002
846.07	0.00002
847.00	0.00001
847.92	0.00002
848.84	0.00002
849.77	0.00002
850.69	0.00002
851.62	0.00001
852.54	0.00001
853.46	0.00002
854.39	0.00004
855.31	0.00006
856.23	0.00008
857.16	0.00010
858.08	0.00011
859.00	0.00012
859.93	0.00012
860.85	0.00012
861.78	0.00012
862.70	0.00011
863.62	0.00010
864.55	0.00010
865.47	0.00009
866.39	0.00009
867.32	0.00008
868.24	0.00007
869.17	0.00006
870.09	0.00006
871.01	0.00005
871.94	0.00004
872.86	0.00004
873.78	0.00004
874.71	0.00003
875.63	0.00003
876.55	0.00002
877.48	0.00002
878.40	0.00003
879.33	0.00004
880.25	0.00006
881.17	0.00007
882.10	0.00007
883.02	0.00007
883.94	0.00006
884.87	0.00005
885.79	0.00004
886.71	0.00002
887.64	0.00001
888.56	0.00001
889.49	0.00002
890.41	0.00004
891.33	0.00006
892.26	0.00007
893.18	0.00007
894.10	0.00007
895.03	0.00006
895.95	0.00004
896.88	0.00003
897.80	0.00004
898.72	0.00006
899.65	0.00008
900.57	0.00010
901.49	0.00011
902.42	0.00012
903.34	0.00012
904.26	0.00011
905.19	0.00010
906.11	0.00008
907.04	0.00007
907.96	0.00005
908.88	0.00004
909.81	0.00003
910.73	0.00002
911.65	0.00002
912.58	0.00002
913.50	0.00002
914.42	0.00002
915.35	0.00003
916.27	0.00004
917.20	0.00004
918.12	0.00005
919.04	0.00005
919.97	0.00005
920.89	0.00005
921.81	0.00005
922.74	0.00005
923.66	0.00004
924.58	0.00004
925.51	0.00003
926.43	0.00003
927.36	0.00003
928.28	0.00003
929.20	0.00004
930.13	0.00004
931.05	0.00005
931.97	0.00006
932.90	0.00006
933.82	0.00007
934.75	0.00006
935.67	0.00006
936.59	0.00005
937.52	0.00004
938.44	0.00004
939.36	0.00004
940.29	0.00004
941.21	0.00004
942.13	0.00003
943.06	0.00003
943.98	0.00002
944.91	0.00001
