Tiempo(s)	Voltaje(V)
0.168639	2.08721
0.169167	2.23223
0.169695	2.11460
0.170223	1.77450
0.170751	1.34820
0.171280	1.04038
0.171808	0.96137
0.172337	1.14834
0.172865	1.53033
0.173392	1.93569
0.173920	2.19275
0.174447	2.20161
0.174976	1.94858
0.175502	1.55047
0.176034	1.15479
0.176562	0.96460
0.177090	1.03555
0.177619	1.33853
0.178147	1.75839
0.178674	2.10654
0.179203	2.23464
0.179731	2.09607
0.180260	1.74550
0.180787	1.32645
0.181315	1.02663
0.181844	0.96862
0.182374	1.16365
0.182901	1.55934
0.183428	1.95664
0.183955	2.21209
0.184484	2.19517
0.185014	1.92119
0.185545	1.50858
0.186071	1.14028
0.186601	0.96218
0.187129	1.03796
0.187658	1.36834
0.188186	1.79142
0.188714	2.11621
0.189244	2.23384
0.189772	2.08076
0.190299	1.71166
0.190828	1.29422
0.191356	1.01535
0.191885	0.95493
0.192413	1.19829
0.192941	1.59479
0.193469	1.99047
0.193997	2.21450
0.194525	2.18308
0.195053	1.89863
0.195581	1.48360
0.196112	1.12175
0.196639	0.95412
0.197166	1.06213
0.197695	1.39976
0.198223	1.80592
0.198750	2.13877
0.199279	2.23464
0.199807	2.06304
0.200335	1.68507
0.200862	1.27488
0.201390	1.00246
0.201920	0.97829
0.202449	1.21682
0.202976	1.61896
0.203503	1.99934
0.204031	2.22578
0.204561	2.16777
0.205088	1.87123
0.205615	1.46427
0.206144	1.10725
0.206672	0.94365
0.207199	1.07905
0.207726	1.41910
0.208255	1.83896
0.208783	2.15166
0.209313	2.23464
0.209841	2.03076
0.210369	1.64796
0.210897	1.25232
0.211427	0.98232
0.211955	0.98877
0.212484	1.26038
0.213012	1.64554
0.213543	2.03479
0.214073	2.22900
0.214601	2.15649
0.215128	1.84298
0.215656	1.42957
0.216184	1.08308
0.216713	0.95090
0.217242	1.10242
0.217770	1.45540
0.218299	1.87607
0.218834	2.16294
0.219363	2.21772
0.219891	2.00820
0.220421	1.61976
0.220949	1.21441
0.221476	0.97990
0.222004	1.00407
0.222531	1.27730
0.223060	1.69071
0.223590	2.05815
0.224117	2.22175
0.224645	2.13796
0.225174	1.81076
0.225702	1.37962
0.226232	1.05972
0.226760	0.95976
0.227288	1.12095
0.227818	1.49327
0.228347	1.90668
0.228875	2.18711
0.229404	2.22014
0.229932	1.98081
0.230460	1.57787
0.230989	1.19668
0.231516	0.97507
0.232046	1.01697
0.232576	1.31033
0.233102	1.72536
