Frecuencia(Hz)	Magnitud(V)
0.00	0.00002
0.92	0.00002
1.85	0.00002
2.77	0.00002
3.70	0.00003
4.62	0.00003
5.54	0.00003
6.47	0.00003
7.39	0.00003
8.31	0.00003
9.24	0.00003
10.16	0.00002
11.09	0.00001
12.01	0.00002
12.93	0.00002
13.86	0.00003
14.78	0.00005
15.70	0.00006
16.63	0.00007
17.55	0.00008
18.48	0.00009
19.40	0.00010
20.32	0.00010
21.25	0.00010
22.17	0.00011
23.09	0.00011
24.02	0.00010
24.94	0.00010
25.87	0.00010
26.79	0.00010
27.71	0.00009
28.64	0.00009
29.56	0.00009
30.48	0.00009
31.41	0.00009
32.33	0.00009
33.26	0.00009
34.18	0.00009
35.10	0.00008
36.03	0.00008
36.95	0.00007
37.87	0.00007
38.80	0.00007
39.72	0.00007
40.65	0.00006
41.57	0.00005
42.49	0.00003
43.42	0.00001
44.34	0.00002
45.26	0.00004
46.19	0.00006
47.11	0.00007
48.04	0.00007
48.96	0.00006
49.88	0.00005
50.81	0.00004
51.73	0.00003
52.65	0.00003
53.58	0.00004
54.50	0.00005
55.43	0.00006
56.35	0.00006
57.27	0.00007
58.20	0.00007
59.12	0.00007
60.04	0.00007
60.97	0.00007
61.89	0.00007
62.82	0.00007
63.74	0.00007
64.66	0.00007
65.59	0.00006
66.51	0.00006
67.43	0.00007
68.36	0.00007
69.28	0.00008
70.21	0.00009
71.13	0.00010
72.05	0.00011
72.98	0.00012
73.90	0.00012
74.82	0.00010
75.75	0.00009
76.67	0.00007
77.60	0.00004
78.52	0.00002
79.44	0.00001
80.37	0.00001
81.29	0.00001
82.21	0.00001
83.14	0.00002
84.06	0.00004
84.99	0.00006
85.91	0.00008
86.83	0.00009
87.76	0.00010
88.68	0.00011
89.60	0.00011
90.53	0.00011
91.45	0.00011
92.38	0.00010
93.30	0.00009
94.22	0.00007
95.15	0.00006
96.07	0.00005
96.99	0.00005
97.92	0.00005
98.84	0.00006
99.77	0.00007
100.69	0.00008
101.61	0.00010
102.54	0.00011
103.46	0.00013
104.38	0.00013
105.31	0.00013
106.23	0.00012
107.16	0.00011
108.08	0.00009
109.00	0.00007
109.93	0.00005
110.85	0.00004
111.77	0.00003
112.70	0.00002
113.62	0.00002
114.55	0.00001
115.47	0.00001
116.39	0.00001
117.32	0.00002
118.24	0.00003
119.17	0.00004
120.09	0.00006
121.01	0.00007
121.94	0.00007
122.86	0.00007
123.78	0.00007
124.71	0.00006
125.63	0.00005
126.56	0.00004
127.48	0.00003
128.40	0.00003
129.33	0.00004
130.25	0.00005
131.17	0.00006
132.10	0.00007
133.02	0.00008
133.95	0.00008
134.87	0.00007
135.79	0.00007
136.72	0.00006
137.64	0.00005
138.56	0.00005
139.49	0.00005
140.41	0.00005
141.34	0.00005
142.26	0.00006
143.18	0.00006
144.11	0.00006
145.03	0.00006
145.95	0.00006
146.88	0.00005
147.80	0.00005
148.73	0.00004
149.65	0.00004
150.57	0.00003
151.50	0.00004
152.42	0.00004
153.34	0.00004
154.27	0.00005
155.19	0.00006
156.12	0.00006
157.04	0.00007
157.96	0.00007
158.89	0.00007
159.81	0.00007
160.73	0.00007
161.66	0.00007
162.58	0.00007
163.51	0.00006
164.43	0.00006
165.35	0.00005
166.28	0.00005
167.20	0.00006
168.12	0.00006
169.05	0.00008
169.97	0.00009
170.90	0.00011
171.82	0.00012
172.74	0.00013
173.67	0.00013
174.59	0.00012
175.51	0.00010
176.44	0.00009
177.36	0.00007
178.29	0.00006
179.21	0.00005
180.13	0.00005
181.06	0.00005
181.98	0.00005
182.90	0.00005
183.83	0.00004
184.75	0.00003
185.68	0.00002
186.60	0.00003
187.52	0.00004
188.45	0.00005
189.37	0.00006
190.29	0.00006
191.22	0.00007
192.14	0.00008
193.07	0.00009
193.99	0.00008
194.91	0.00008
195.84	0.00007
196.76	0.00005
197.68	0.00004
198.61	0.00005
199.53	0.00005
200.46	0.00006
201.38	0.00007
202.30	0.00008
203.23	0.00009
204.15	0.00010
205.07	0.00011
206.00	0.00011
206.92	0.00010
207.85	0.00008
208.77	0.00006
209.69	0.00004
210.62	0.00003
211.54	0.00003
212.46	0.00004
213.39	0.00003
214.31	0.00002
215.24	0.00001
216.16	0.00003
217.08	0.00006
218.01	0.00008
218.93	0.00010
219.85	0.00012
220.78	0.00013
221.70	0.00013
222.63	0.00013
223.55	0.00011
224.47	0.00010
225.40	0.00008
226.32	0.00006
227.25	0.00004
228.17	0.00003
229.09	0.00003
230.02	0.00003
230.94	0.00004
231.86	0.00005
232.79	0.00006
233.71	0.00007
234.64	0.00009
235.56	0.00009
236.48	0.00010
237.41	0.00010
238.33	0.00009
239.25	0.00009
240.18	0.00008
241.10	0.00008
242.03	0.00008
242.95	0.00008
243.87	0.00009
244.80	0.00010
245.72	0.00011
246.64	0.00013
247.57	0.00015
248.49	0.00017
249.42	0.00018
250.34	0.00018
251.26	0.00018
252.19	0.00018
253.11	0.00017
