Frecuencia(Hz)	Magnitud(V)
0.00	0.00243
0.92	0.00249
1.85	0.00262
2.77	0.00274
3.70	0.00279
4.62	0.00278
5.54	0.00275
6.47	0.00279
7.39	0.00295
8.31	0.00322
9.24	0.00356
10.16	0.00391
11.09	0.00425
12.01	0.00454
12.93	0.00478
13.86	0.00495
14.78	0.00504
15.71	0.00503
16.63	0.00493
17.55	0.00474
18.48	0.00446
19.40	0.00412
20.32	0.00375
21.25	0.00343
22.17	0.00324
23.10	0.00328
24.02	0.00357
24.94	0.00406
25.87	0.00463
26.79	0.00516
27.72	0.00559
28.64	0.00584
29.56	0.00589
30.49	0.00574
31.41	0.00539
32.33	0.00490
33.26	0.00434
34.18	0.00382
35.11	0.00346
36.03	0.00338
36.95	0.00359
37.88	0.00401
38.80	0.00453
39.73	0.00507
40.65	0.00557
41.57	0.00600
42.50	0.00633
43.42	0.00655
44.34	0.00664
45.27	0.00662
46.19	0.00645
47.12	0.00615
48.04	0.00573
48.96	0.00522
49.89	0.00471
50.81	0.00435
51.74	0.00427
52.66	0.00458
53.58	0.00521
54.51	0.00603
55.43	0.00692
56.35	0.00775
57.28	0.00843
58.20	0.00889
59.13	0.00908
60.05	0.00898
60.97	0.00860
61.90	0.00798
62.82	0.00721
63.75	0.00646
64.67	0.00597
65.59	0.00599
66.52	0.00656
67.44	0.00750
68.36	0.00859
69.29	0.00967
70.21	0.01067
71.14	0.01153
72.06	0.01224
72.98	0.01281
73.91	0.01326
74.83	0.01359
75.76	0.01378
76.68	0.01374
77.60	0.01331
78.53	0.01239
79.45	0.01113
80.37	0.01019
81.30	0.01078
82.22	0.01363
83.15	0.01853
84.07	0.02527
84.99	0.03373
85.92	0.04338
86.84	0.05300
87.77	0.06083
88.69	0.06506
89.61	0.06428
90.54	0.05800
91.46	0.04679
92.38	0.03224
93.31	0.01685
94.23	0.00716
95.16	0.01473
96.08	0.02319
97.00	0.02842
97.93	0.03062
98.85	0.03061
99.78	0.02923
100.70	0.02712
101.62	0.02470
102.55	0.02234
103.47	0.02028
104.39	0.01858
105.32	0.01711
106.24	0.01558
107.17	0.01385
108.09	0.01193
109.01	0.00997
109.94	0.00821
110.86	0.00685
111.79	0.00608
112.71	0.00594
113.63	0.00631
114.56	0.00690
115.48	0.00749
116.40	0.00788
117.33	0.00801
118.25	0.00785
119.18	0.00744
120.10	0.00683
121.02	0.00608
121.95	0.00523
122.87	0.00438
123.80	0.00361
124.72	0.00304
125.64	0.00276
126.57	0.00277
127.49	0.00297
128.41	0.00324
129.34	0.00351
130.26	0.00373
131.19	0.00387
132.11	0.00392
133.03	0.00389
133.96	0.00378
134.88	0.00360
135.81	0.00336
136.73	0.00306
137.65	0.00271
138.58	0.00235
139.50	0.00200
140.42	0.00174
141.35	0.00164
142.27	0.00172
143.20	0.00192
144.12	0.00217
145.04	0.00242
145.97	0.00262
146.89	0.00275
147.82	0.00281
148.74	0.00278
149.66	0.00266
150.59	0.00245
151.51	0.00219
152.43	0.00192
153.36	0.00170
154.28	0.00157
155.21	0.00155
156.13	0.00160
157.05	0.00166
157.98	0.00170
158.90	0.00171
159.83	0.00170
160.75	0.00167
161.67	0.00164
162.60	0.00162
163.52	0.00159
164.44	0.00156
165.37	0.00150
166.29	0.00140
167.22	0.00126
168.14	0.00110
169.06	0.00094
169.99	0.00084
170.91	0.00082
171.84	0.00089
172.76	0.00100
173.68	0.00112
174.61	0.00122
175.53	0.00129
176.45	0.00133
177.38	0.00133
178.30	0.00128
179.23	0.00119
180.15	0.00106
181.07	0.00092
182.00	0.00079
182.92	0.00069
183.85	0.00064
184.77	0.00064
185.69	0.00068
186.62	0.00075
187.54	0.00082
188.46	0.00089
189.39	0.00095
190.31	0.00099
191.24	0.00100
192.16	0.00098
193.08	0.00095
194.01	0.00091
194.93	0.00085
195.86	0.00080
196.78	0.00074
197.70	0.00069
198.63	0.00067
199.55	0.00066
200.47	0.00069
201.40	0.00075
202.32	0.00082
203.25	0.00088
204.17	0.00093
205.09	0.00095
206.02	0.00094
206.94	0.00091
207.87	0.00085
208.79	0.00078
209.71	0.00068
210.64	0.00058
211.56	0.00050
212.48	0.00048
213.41	0.00052
214.33	0.00059
215.26	0.00064
216.18	0.00067
217.10	0.00067
218.03	0.00064
218.95	0.00060
219.88	0.00054
220.80	0.00049
221.72	0.00044
222.65	0.00040
223.57	0.00036
224.49	0.00032
225.42	0.00028
226.34	0.00024
227.27	0.00023
228.19	0.00024
229.11	0.00029
230.04	0.00035
230.96	0.00039
231.89	0.00043
232.81	0.00045
233.73	0.00046
234.66	0.00045
235.58	0.00044
236.50	0.00041
237.43	0.00036
238.35	0.00029
239.28	0.00021
240.20	0.00014
241.12	0.00013
242.05	0.00019
242.97	0.00026
243.90	0.00032
244.82	0.00037
245.74	0.00039
246.67	0.00039
247.59	0.00038
248.51	0.00036
249.44	0.00033
250.36	0.00031
251.29	0.00029
252.21	0.00027
253.13	0.00025
254.06	0.00022
254.98	0.00020
255.91	0.00017
256.83	0.00016
257.75	0.00017
258.68	0.00022
259.60	0.00028
260.52	0.00033
261.45	0.00037
262.37	0.00039
263.30	0.00038
264.22	0.00036
265.14	0.00031
266.07	0.00025
266.99	0.00019
267.92	0.00012
268.84	0.00007
269.76	0.00003
270.69	0.00005
271.61	0.00010
272.53	0.00016
273.46	0.00022
274.38	0.00027
275.31	0.00031
276.23	0.00034
277.15	0.00037
278.08	0.00038
279.00	0.00039
279.93	0.00039
280.85	0.00038
281.77	0.00035
282.70	0.00032
283.62	0.00027
284.54	0.00021
285.47	0.00014
286.39	0.00007
287.32	0.00005
288.24	0.00010
289.16	0.00016
290.09	0.00020
291.01	0.00023
291.94	0.00025
292.86	0.00025
293.78	0.00022
294.71	0.00018
295.63	0.00013
296.55	0.00009
297.48	0.00011
298.40	0.00017
299.33	0.00022
300.25	0.00026
301.17	0.00028
302.10	0.00028
303.02	0.00027
303.95	0.00027
304.87	0.00027
305.79	0.00027
306.72	0.00028
