Frecuencia(Hz)	Magnitud(V)
307.64	0.00028
308.56	0.00026
309.49	0.00023
310.41	0.00020
311.34	0.00015
312.26	0.00011
313.18	0.00008
314.11	0.00005
315.03	0.00003
315.96	0.00001
316.88	0.00003
317.80	0.00005
318.73	0.00008
319.65	0.00011
320.57	0.00014
321.50	0.00016
322.42	0.00017
323.35	0.00016
324.27	0.00015
325.19	0.00012
326.12	0.00009
327.04	0.00004
327.97	0.00001
328.89	0.00005
329.81	0.00009
330.74	0.00012
331.66	0.00014
332.58	0.00016
333.51	0.00017
334.43	0.00018
335.36	0.00019
336.28	0.00020
337.20	0.00020
338.13	0.00020
339.05	0.00019
339.98	0.00018
340.90	0.00016
341.82	0.00012
342.75	0.00008
343.67	0.00004
344.59	0.00006
345.52	0.00012
346.44	0.00016
347.37	0.00020
348.29	0.00021
349.21	0.00021
350.14	0.00019
351.06	0.00016
351.99	0.00013
352.91	0.00012
353.83	0.00012
354.76	0.00011
355.68	0.00008
356.60	0.00005
357.53	0.00004
358.45	0.00009
359.38	0.00015
360.30	0.00020
361.22	0.00024
362.15	0.00026
363.07	0.00027
364.00	0.00027
364.92	0.00025
365.84	0.00024
366.77	0.00022
367.69	0.00020
368.61	0.00018
369.54	0.00016
370.46	0.00015
371.39	0.00014
372.31	0.00013
373.23	0.00013
374.16	0.00013
375.08	0.00013
376.01	0.00013
376.93	0.00012
377.85	0.00011
378.78	0.00009
379.70	0.00010
380.62	0.00012
381.55	0.00015
382.47	0.00017
383.40	0.00020
384.32	0.00022
385.24	0.00024
386.17	0.00025
387.09	0.00026
388.02	0.00027
388.94	0.00027
389.86	0.00028
390.79	0.00028
391.71	0.00027
392.63	0.00026
393.56	0.00025
394.48	0.00024
395.41	0.00022
396.33	0.00020
397.25	0.00018
398.18	0.00017
399.10	0.00016
400.03	0.00016
400.95	0.00015
401.87	0.00015
402.80	0.00014
403.72	0.00013
404.64	0.00012
405.57	0.00013
406.49	0.00013
407.42	0.00015
408.34	0.00016
409.26	0.00016
410.19	0.00017
411.11	0.00018
412.04	0.00019
412.96	0.00019
413.88	0.00020
414.81	0.00020
415.73	0.00021
416.65	0.00021
417.58	0.00021
418.50	0.00021
419.43	0.00020
420.35	0.00019
421.27	0.00018
422.20	0.00016
423.12	0.00016
424.05	0.00015
424.97	0.00015
425.89	0.00016
426.82	0.00016
427.74	0.00017
428.66	0.00018
429.59	0.00019
430.51	0.00020
431.44	0.00021
432.36	0.00022
433.28	0.00022
434.21	0.00023
435.13	0.00023
436.06	0.00023
436.98	0.00023
437.90	0.00022
438.83	0.00022
439.75	0.00020
440.67	0.00019
441.60	0.00018
442.52	0.00018
443.45	0.00018
444.37	0.00018
445.29	0.00018
446.22	0.00018
447.14	0.00018
448.07	0.00019
448.99	0.00019
449.91	0.00020
450.84	0.00020
451.76	0.00019
452.68	0.00018
453.61	0.00018
454.53	0.00018
455.46	0.00019
456.38	0.00021
457.30	0.00022
458.23	0.00023
459.15	0.00024
460.08	0.00025
461.00	0.00025
461.92	0.00025
462.85	0.00025
463.77	0.00025
464.69	0.00026
465.62	0.00026
466.54	0.00026
467.47	0.00026
468.39	0.00026
469.31	0.00025
470.24	0.00025
471.16	0.00025
472.09	0.00025
473.01	0.00025
473.93	0.00025
474.86	0.00025
475.78	0.00025
476.70	0.00024
477.63	0.00024
478.55	0.00023
479.48	0.00022
480.40	0.00021
481.32	0.00021
482.25	0.00020
483.17	0.00020
484.10	0.00020
485.02	0.00021
485.94	0.00022
486.87	0.00023
487.79	0.00024
488.71	0.00025
489.64	0.00025
490.56	0.00025
491.49	0.00025
492.41	0.00024
493.33	0.00023
494.26	0.00022
495.18	0.00020
496.11	0.00018
497.03	0.00017
497.95	0.00015
498.88	0.00014
499.80	0.00014
500.72	0.00015
501.65	0.00017
502.57	0.00020
503.50	0.00023
504.42	0.00026
505.34	0.00028
506.27	0.00030
507.19	0.00031
508.12	0.00032
509.04	0.00032
509.96	0.00031
510.89	0.00030
511.81	0.00029
512.73	0.00027
513.66	0.00026
514.58	0.00025
515.51	0.00024
516.43	0.00024
517.35	0.00024
518.28	0.00024
519.20	0.00024
520.13	0.00024
521.05	0.00024
521.97	0.00023
522.90	0.00023
523.82	0.00023
524.74	0.00022
525.67	0.00021
526.59	0.00019
527.52	0.00017
528.44	0.00015
529.36	0.00014
530.29	0.00012
531.21	0.00012
532.14	0.00013
533.06	0.00015
533.98	0.00018
534.91	0.00021
535.83	0.00023
536.75	0.00024
537.68	0.00025
538.60	0.00024
539.53	0.00022
540.45	0.00020
541.37	0.00018
542.30	0.00017
543.22	0.00017
544.15	0.00017
545.07	0.00019
545.99	0.00021
546.92	0.00024
547.84	0.00026
548.76	0.00027
549.69	0.00028
550.61	0.00028
551.54	0.00028
552.46	0.00028
553.38	0.00027
554.31	0.00027
555.23	0.00026
556.16	0.00025
557.08	0.00025
558.00	0.00025
558.93	0.00025
559.85	0.00026
560.77	0.00027
561.70	0.00028
562.62	0.00029
563.55	0.00031
564.47	0.00032
565.39	0.00032
566.32	0.00032
567.24	0.00032
568.16	0.00031
569.09	0.00030
570.01	0.00028
570.94	0.00026
571.86	0.00025
572.78	0.00023
573.71	0.00022
574.63	0.00021
575.56	0.00021
576.48	0.00022
577.40	0.00024
578.33	0.00026
579.25	0.00028
580.17	0.00030
581.10	0.00031
582.02	0.00031
582.95	0.00030
583.87	0.00028
584.79	0.00027
585.72	0.00025
586.64	0.00024
587.57	0.00023
588.49	0.00022
589.41	0.00022
590.34	0.00023
591.26	0.00024
592.18	0.00025
593.11	0.00026
594.03	0.00026
594.96	0.00026
595.88	0.00026
596.80	0.00025
597.73	0.00024
598.65	0.00023
599.58	0.00022
600.50	0.00022
601.42	0.00022
602.35	0.00023
603.27	0.00024
604.19	0.00026
605.12	0.00028
606.04	0.00029
606.97	0.00030
607.89	0.00030
608.81	0.00031
609.74	0.00031
610.66	0.00031
611.59	0.00030
612.51	0.00030
613.43	0.00030
614.36	0.00030
615.28	0.00031
616.20	0.00031
617.13	0.00030
618.05	0.00030
618.98	0.00029
619.90	0.00029
620.82	0.00028
621.75	0.00026
622.67	0.00025
623.60	0.00024
624.52	0.00024
625.44	0.00023
626.37	0.00023
627.29	0.00022
628.21	0.00022
629.14	0.00022
630.06	0.00022
630.99	0.00023
631.91	0.00023
632.83	0.00024
633.76	0.00025
634.68	0.00026
635.61	0.00026
636.53	0.00027
637.45	0.00028
638.38	0.00029
639.30	0.00029
640.22	0.00030
641.15	0.00030
642.07	0.00030
643.00	0.00030
643.92	0.00030
644.84	0.00030
645.77	0.00029
646.69	0.00029
647.62	0.00029
648.54	0.00029
649.46	0.00030
650.39	0.00030
651.31	0.00031
652.23	0.00032
653.16	0.00032
654.08	0.00031
655.01	0.00030
655.93	0.00029
656.85	0.00028
657.78	0.00027
658.70	0.00026
659.63	0.00027
660.55	0.00028
661.47	0.00030
662.40	0.00031
663.32	0.00032
664.24	0.00032
665.17	0.00031
666.09	0.00029
667.02	0.00027
667.94	0.00024
668.86	0.00022
669.79	0.00020
670.71	0.00019
671.64	0.00018
672.56	0.00019
673.48	0.00020
674.41	0.00021
675.33	0.00023
676.25	0.00025
677.18	0.00028
678.10	0.00030
679.03	0.00031
679.95	0.00032
680.87	0.00032
681.80	0.00032
682.72	0.00030
683.65	0.00029
684.57	0.00026
685.49	0.00024
686.42	0.00023
687.34	0.00022
688.26	0.00022
689.19	0.00024
690.11	0.00026
691.04	0.00029
691.96	0.00031
692.88	0.00033
693.81	0.00034
694.73	0.00033
695.66	0.00032
696.58	0.00031
697.50	0.00029
698.43	0.00027
699.35	0.00025
700.27	0.00024
701.20	0.00022
702.12	0.00021
703.05	0.00021
703.97	0.00021
704.89	0.00021
705.82	0.00022
706.74	0.00023
707.67	0.00023
708.59	0.00024
709.51	0.00024
710.44	0.00024
711.36	0.00024
712.28	0.00025
713.21	0.00025
714.13	0.00026
715.06	0.00027
715.98	0.00027
716.90	0.00027
717.83	0.00027
718.75	0.00027
719.68	0.00026
720.60	0.00026
721.52	0.00026
722.45	0.00026
723.37	0.00026
724.29	0.00027
725.22	0.00028
726.14	0.00029
727.07	0.00030
727.99	0.00031
728.91	0.00032
729.84	0.00032
730.76	0.00032
731.69	0.00032
732.61	0.00032
733.53	0.00032
734.46	0.00032
735.38	0.00032
736.30	0.00032
737.23	0.00032
738.15	0.00033
739.08	0.00033
740.00	0.00034
740.92	0.00033
741.85	0.00033
742.77	0.00031
743.70	0.00030
744.62	0.00028
745.54	0.00026
746.47	0.00024
747.39	0.00023
748.31	0.00022
749.24	0.00022
750.16	0.00022
751.09	0.00023
752.01	0.00024
752.93	0.00026
753.86	0.00028
754.78	0.00029
755.71	0.00031
756.63	0.00032
757.55	0.00033
758.48	0.00034
759.40	0.00034
760.32	0.00034
761.25	0.00034
762.17	0.00033
763.10	0.00032
764.02	0.00032
764.94	0.00031
765.87	0.00031
766.79	0.00031
767.72	0.00031
768.64	0.00031
769.56	0.00031
770.49	0.00032
771.41	0.00033
772.33	0.00034
773.26	0.00035
774.18	0.00035
775.11	0.00035
776.03	0.00034
776.95	0.00033
777.88	0.00032
778.80	0.00032
779.73	0.00032
780.65	0.00033
781.57	0.00033
782.50	0.00034
783.42	0.00034
784.34	0.00034
785.27	0.00034
786.19	0.00034
787.12	0.00034
788.04	0.00033
788.96	0.00033
789.89	0.00032
790.81	0.00031
791.74	0.00029
792.66	0.00026
793.58	0.00023
794.51	0.00020
795.43	0.00018
796.35	0.00015
797.28	0.00014
798.20	0.00014
799.13	0.00015
800.05	0.00016
800.97	0.00018
801.90	0.00020
802.82	0.00022
803.75	0.00024
804.67	0.00026
805.59	0.00027
806.52	0.00028
807.44	0.00029
808.36	0.00029
809.29	0.00029
810.21	0.00029
811.14	0.00029
812.06	0.00029
812.98	0.00028
813.91	0.00028
814.83	0.00027
815.76	0.00027
816.68	0.00026
817.60	0.00027
818.53	0.00028
819.45	0.00031
820.37	0.00033
821.30	0.00036
822.22	0.00038
823.15	0.00040
824.07	0.00041
824.99	0.00043
825.92	0.00044
826.84	0.00044
827.77	0.00044
828.69	0.00045
829.61	0.00044
830.54	0.00044
831.46	0.00044
832.38	0.00044
833.31	0.00045
834.23	0.00046
835.16	0.00046
836.08	0.00046
837.00	0.00045
837.93	0.00044
838.85	0.00041
839.78	0.00037
840.70	0.00033
841.62	0.00029
842.55	0.00024
843.47	0.00021
844.39	0.00017
845.32	0.00015
846.24	0.00014
847.17	0.00013
848.09	0.00014
849.01	0.00016
849.94	0.00019
850.86	0.00022
851.79	0.00025
852.71	0.00029
853.63	0.00031
854.56	0.00033
855.48	0.00034
856.40	0.00034
857.33	0.00033
858.25	0.00031
859.18	0.00029
860.10	0.00027
861.02	0.00025
861.95	0.00023
862.87	0.00022
863.80	0.00022
864.72	0.00023
865.64	0.00024
866.57	0.00025
867.49	0.00026
868.41	0.00027
869.34	0.00027
870.26	0.00027
871.19	0.00027
872.11	0.00027
873.03	0.00027
873.96	0.00028
874.88	0.00030
875.81	0.00032
876.73	0.00035
877.65	0.00037
878.58	0.00038
879.50	0.00039
880.42	0.00039
881.35	0.00038
882.27	0.00037
883.20	0.00036
884.12	0.00035
885.04	0.00034
885.97	0.00033
886.89	0.00032
887.82	0.00031
888.74	0.00030
889.66	0.00030
890.59	0.00029
891.51	0.00029
892.43	0.00029
893.36	0.00030
894.28	0.00030
895.21	0.00030
896.13	0.00030
897.05	0.00030
897.98	0.00029
898.90	0.00028
899.83	0.00027
900.75	0.00026
901.67	0.00024
902.60	0.00024
903.52	0.00024
904.44	0.00024
905.37	0.00025
906.29	0.00027
907.22	0.00030
908.14	0.00033
909.06	0.00037
909.99	0.00040
910.91	0.00043
911.84	0.00044
912.76	0.00045
913.68	0.00045
914.61	0.00043
915.53	0.00041
916.45	0.00039
917.38	0.00036
918.30	0.00034
919.23	0.00032
920.15	0.00031
921.07	0.00029
922.00	0.00028
922.92	0.00028
923.85	0.00029
924.77	0.00030
925.69	0.00031
926.62	0.00032
927.54	0.00033
928.46	0.00033
929.39	0.00033
930.31	0.00033
931.24	0.00032
932.16	0.00032
933.08	0.00031
934.01	0.00030
934.93	0.00028
935.86	0.00026
936.78	0.00024
937.70	0.00022
938.63	0.00021
939.55	0.00021
940.47	0.00021
941.40	0.00023
942.32	0.00024
943.25	0.00026
944.17	0.00027
945.09	0.00028
