Frecuencia(Hz)	Magnitud(V)
0.00	0.00118
29.57	0.00569
59.13	0.01126
88.70	0.03219
118.26	0.02017
147.83	0.00991
177.39	0.00664
206.96	0.00540
236.53	0.00429
266.09	0.00363
295.66	0.00322
325.22	0.00302
354.79	0.00260
384.36	0.00242
413.92	0.00234
443.49	0.00215
473.05	0.00207
502.62	0.00183
532.18	0.00181
561.75	0.00179
591.32	0.00170
620.88	0.00167
650.45	0.00159
680.01	0.00153
709.58	0.00150
739.14	0.00145
768.71	0.00149
798.28	0.00163
827.84	0.00145
857.41	0.00153
886.97	0.00139
916.54	0.00144
