Frecuencia(Hz)	Magnitud(V)
0.00	0.01441
7.39	0.01241
14.78	0.00970
22.18	0.01063
29.57	0.01395
36.96	0.01549
44.35	0.01906
51.75	0.01578
59.14	0.03085
66.53	0.02511
73.92	0.05542
81.31	0.05099
88.71	0.28274
96.10	0.20100
103.49	0.12036
110.88	0.01916
118.27	0.05260
125.67	0.01243
133.06	0.02885
140.45	0.00681
147.84	0.02404
155.24	0.00629
162.63	0.01874
170.02	0.00641
177.41	0.01642
184.80	0.00397
192.20	0.01301
199.59	0.00318
206.98	0.01273
214.37	0.00350
221.77	0.01040
229.16	0.00277
236.55	0.00988
243.94	0.00224
251.33	0.00861
258.73	0.00189
266.12	0.00926
273.51	0.00168
280.90	0.00744
288.30	0.00249
295.69	0.00774
303.08	0.00141
310.47	0.00641
317.86	0.00250
325.26	0.00653
332.65	0.00153
340.04	0.00521
347.43	0.00213
354.82	0.00600
362.22	0.00173
369.61	0.00503
377.00	0.00234
384.39	0.00546
391.79	0.00197
399.18	0.00456
406.57	0.00208
413.96	0.00467
421.35	0.00186
428.75	0.00424
436.14	0.00239
443.53	0.00397
450.92	0.00131
458.32	0.00419
465.71	0.00246
473.10	0.00382
480.49	0.00182
487.88	0.00351
495.28	0.00218
502.67	0.00403
510.06	0.00185
517.45	0.00322
524.85	0.00219
532.24	0.00332
539.63	0.00200
547.02	0.00293
554.41	0.00229
561.81	0.00315
569.20	0.00169
576.59	0.00267
583.98	0.00233
591.37	0.00282
598.77	0.00201
606.16	0.00298
613.55	0.00214
620.94	0.00276
628.34	0.00202
635.73	0.00240
643.12	0.00247
650.51	0.00221
657.90	0.00161
665.30	0.00220
672.69	0.00223
680.08	0.00228
687.47	0.00188
694.87	0.00210
702.26	0.00220
709.65	0.00227
717.04	0.00175
724.43	0.00223
731.83	0.00214
739.22	0.00196
746.61	0.00176
754.00	0.00218
761.40	0.00204
768.79	0.00197
776.18	0.00201
783.57	0.00179
790.96	0.00187
798.36	0.00180
805.75	0.00208
813.14	0.00214
820.53	0.00229
827.92	0.00183
835.32	0.00212
842.71	0.00176
850.10	0.00243
857.49	0.00164
864.89	0.00200
872.28	0.00181
879.67	0.00232
887.06	0.00175
894.45	0.00203
901.85	0.00091
909.24	0.00209
916.63	0.00226
924.02	0.00171
931.42	0.00223
938.81	0.00224
